State,Fish Type,Average Consumption (tons),Preferred Size (cm),Price Range (INR per kg),Seasonal Availability
Puducherry,Red Sea Bream,10.96,20.09,270.35 - 368.41,Seasonal
Puducherry,Red Sea Bream,17.9,13.68,330.04 - 419.71,Year-round
Puducherry,Red Sea Bream,19.48,10.45,344.34 - 427.67,Year-round
Puducherry,Red Sea Bream,8.14,17.23,238.97 - 360.51,Seasonal
Puducherry,Sea Bass,15.29,35.0,274.99 - 385.94,Year-round
Puducherry,Sea Bass,12.99,37.93,485.43 - 571.58,Seasonal
Puducherry,Sea Bass,8.21,13.17,404.92 - 520.99,Year-round
Puducherry,Sea Bass,11.24,35.51,268.91 - 342.88,Year-round
Puducherry,Sea Bass,11.65,27.58,492.82 - 596.05,Year-round
Puducherry,Sea Bass,18.7,22.28,424.47 - 485.82,Seasonal
Puducherry,Red Mullet,17.24,39.65,316.66 - 371.4,Seasonal
Puducherry,Red Mullet,18.66,38.87,328.37 - 398.12,Seasonal
Puducherry,Red Mullet,16.56,24.99,291.56 - 438.94,Year-round
Puducherry,Red Mullet,12.24,19.93,422.09 - 503.37,Year-round
Puducherry,Red Mullet,7.58,25.9,287.0 - 399.89,Year-round
Puducherry,Red Mullet,19.77,10.87,301.44 - 362.23,Year-round
Puducherry,Horse Mackerel,19.0,36.02,270.08 - 397.92,Seasonal
Puducherry,Horse Mackerel,13.42,24.26,437.18 - 500.54,Year-round
Puducherry,Horse Mackerel,10.94,38.91,361.69 - 440.48,Seasonal
Puducherry,Horse Mackerel,11.23,22.08,210.86 - 315.98,Year-round
Puducherry,Horse Mackerel,5.33,19.11,476.32 - 558.41,Year-round
Puducherry,Horse Mackerel,8.62,30.17,259.03 - 398.59,Seasonal
Puducherry,Black Sea Sprat,16.93,15.44,413.6 - 502.1,Year-round
Puducherry,Black Sea Sprat,15.17,27.16,344.03 - 443.17,Year-round
Puducherry,Black Sea Sprat,12.21,21.29,308.96 - 364.18,Year-round
Puducherry,Black Sea Sprat,6.62,39.6,385.8 - 500.89,Seasonal
Puducherry,Black Sea Sprat,12.3,18.95,391.43 - 470.24,Seasonal
Puducherry,Black Sea Sprat,7.97,14.02,216.92 - 353.75,Seasonal
Puducherry,Striped Red Mullet,7.29,12.07,498.74 - 577.62,Year-round
Puducherry,Striped Red Mullet,12.85,16.14,300.45 - 383.48,Year-round
Puducherry,Striped Red Mullet,18.1,21.85,300.5 - 371.23,Year-round
Puducherry,Striped Red Mullet,10.26,32.73,374.72 - 493.62,Seasonal
Puducherry,Striped Red Mullet,5.99,15.74,322.22 - 465.92,Year-round
Puducherry,Striped Red Mullet,11.09,33.13,330.57 - 475.25,Year-round
Puducherry,Trout,9.58,14.73,252.2 - 378.28,Year-round
Puducherry,Trout,18.47,31.95,310.1 - 370.71,Year-round
Puducherry,Trout,9.7,18.85,420.02 - 557.15,Seasonal
Puducherry,Trout,7.45,17.48,302.56 - 369.39,Year-round
Puducherry,Trout,10.39,13.77,376.8 - 479.31,Year-round
Puducherry,Trout,9.7,25.8,297.28 - 358.38,Seasonal
Puducherry,Shrimp,13.22,31.08,437.81 - 550.72,Seasonal
Puducherry,Shrimp,5.08,19.84,398.12 - 521.16,Seasonal
Puducherry,Shrimp,9.99,30.08,264.84 - 373.93,Year-round
Puducherry,Shrimp,10.86,33.73,440.9 - 562.52,Seasonal
Puducherry,Shrimp,14.34,22.39,457.96 - 533.14,Seasonal
Puducherry,Shrimp,6.95,19.83,263.05 - 362.82,Year-round
